iglu_output_name,standardized_name,unit_category,category,short_name,description,iglu_function
Mean,cgm_mean,glucose,summary,Mean,Mean of all glucose values.,summary_glu
Median,cgm_median,glucose,summary,Median,Median of all glucose values.,summary_glu
SD,cgm_sd,glucose,summary,SD,Standard deviation of all glucose values.,summary_glu
IQR,cgm_iqr,glucose,summary,IQR,"Interquartile range (IQR), calculated as the distance between the 25th percentile and the 75th percentile of the glucose values.",summary_glu
MAD,cgm_mad,glucose,summary,MAD,"Median Absolute Deviation (MAD). This is a measure of glycemic variability, which is calculated by taking the median of the differences between glucose values and their median.",summary_glu
Min.,cgm_min,glucose,summary,Min,Minimum of all glucose values.,summary_glu
Max.,cgm_max,glucose,summary,Max,Maximum of all glucose values.,summary_glu
1st Qu.,cgm_1st_quartile,glucose,summary,1st quartile,First quartile of all glucose values.,summary_glu
3rd Qu.,cgm_3rd_quartile,glucose,summary,3rd quartile,Third quartile of all glucose values.,summary_glu
range_glu,cgm_range,glucose,summary,Range,Difference between the maximum and minimum glucose values of the individual.,range_glu
mean_glu_mean,cgm_mean,glucose,summary,Mean,Mean of all glucose values.,mean_glu
median_glu_median,cgm_median,glucose,summary,Median,Median of all glucose values.,median_glu
sd_glu_SD,cgm_sd,glucose,summary,SD,Standard deviation of all glucose values.,sd_glu
iqr_glu_IQR,cgm_iqr,glucose,summary,IQR,"Interquartile range (IQR), calculated as the distance between the 25th percentile and the 75th percentile of the glucose values.",iqr_glu
mad_glu_MAD,cgm_mad,glucose,summary,MAD,"Median Absolute Deviation (MAD). This is a measure of glycemic variability, which is calculated by taking the median of the differences between glucose values and their median.",mad_glu
quantile_0,cgm_min,glucose,summary,Min,Minimum of all glucose values.,quantile_glu
quantile_25,cgm_1st_quartile,glucose,summary,1st quartile,First quartile of all glucose values.,quantile_glu
quantile_50,cgm_median,glucose,summary,Median,Median of all glucose values.,quantile_glu
quantile_75,cgm_3rd_quartile,glucose,summary,3rd quartile,Third quartile of all glucose values.,quantile_glu
quantile_100,cgm_max,glucose,summary,Max,Maximum of all glucose values.,quantile_glu
CV,cgm_cv,cv_percent,variability,CV,Coefficient of variation of all glucose values.,cv_glu
cv_measures_CVmean,cgm_cv_measures_mean,cv_percent,variability,CVmean,Mean of all daily CVs.,cv_measures
cv_measures_CVsd,cgm_cv_measures_sd,cv_percent,variability,CVsd,Standard deviations of all daily CVs.,cv_measures
